RecipeName,RecipeCategory,Difficulty,PreparationTimeMinutes,TotalIngredientCount,MatchedIngredientCount,MissingIngredientCount,MatchedIngredientRatio,RiskyIngredientCount,AverageDaysUntilExpiration,HasSensitiveIngredient,UserLikedSimilarRecipes,UserSavedSimilarRecipes,UserCookedSimilarRecipes,UserDislikedSimilarRecipes,ViewedSimilarRecipes,Season,RecommendationScore,RecommendationLabel
Muzlu Pankek,Tatlı,Orta,25,5,5,0,1.0,4,4,False,6,6,5,0,3,İlkbahar,100.0,High
Mevsim Salata,Salata,Kolay,10,5,3,2,0.6,0,6,True,8,1,5,4,5,Kış,87.0,High
Yoğurtlu Havuç Salatası,Salata,Kolay,15,10,3,7,0.3,3,2,True,2,4,3,1,13,Sonbahar,88.5,High
Tavuklu Sebze Sote,Ana Yemek,Orta,35,7,4,3,0.571,2,0,True,1,2,4,0,13,Kış,100.0,High
Peynirli Akdeniz Salatası,Salata,Kolay,15,4,0,4,0.0,0,4,False,7,4,4,2,2,Yaz,53.4,Medium
Muzlu Pankek,Tatlı,Orta,25,10,10,0,1.0,0,10,True,1,4,0,1,7,Sonbahar,100.0,High
Muzlu Pankek,Tatlı,Orta,25,4,0,4,0.0,0,28,True,0,6,1,5,11,Kış,0.0,Low
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,4,4,0,1.0,2,17,False,0,6,3,1,12,Sonbahar,100.0,High
Etli Sebze Yemeği,Ana Yemek,Zor,55,8,3,5,0.375,3,3,True,3,2,1,3,15,Yaz,47.12,Medium
Etli Sebze Yemeği,Ana Yemek,Zor,55,6,3,3,0.5,1,18,True,7,6,0,2,12,Yaz,71.5,Medium
Sebze Çorbası,Çorba,Kolay,28,10,1,9,0.1,0,9,True,2,6,0,0,12,Sonbahar,19.5,Low
Yoğurtlu Havuç Salatası,Salata,Kolay,15,4,1,3,0.25,0,3,True,5,1,4,3,4,Kış,55.55,Medium
Sebzeli Omlet,Kahvaltı,Kolay,15,10,1,9,0.1,0,2,True,2,2,4,0,11,Yaz,38.5,Low
Peynirli Tost,Kahvaltı,Kolay,10,9,9,0,1.0,4,0,False,6,1,0,3,5,Sonbahar,100.0,High
Mevsim Salata,Salata,Kolay,10,6,5,1,0.833,3,11,True,1,1,2,5,4,İlkbahar,74.97,Medium
Sebzeli Pilav,Ana Yemek,Kolay,25,7,2,5,0.286,1,13,False,4,2,3,5,3,Yaz,14.6,Low
Sebzeli Pilav,Ana Yemek,Kolay,25,7,2,5,0.286,2,14,False,7,4,4,0,15,Kış,100.0,High
Peynirli Akdeniz Salatası,Salata,Kolay,15,8,8,0,1.0,4,29,False,4,2,1,1,8,Yaz,100.0,High
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,6,6,0,1.0,3,0,False,7,2,3,5,13,İlkbahar,100.0,High
Tavuklu Sebze Sote,Ana Yemek,Orta,35,5,5,0,1.0,1,12,True,1,0,4,1,9,Sonbahar,100.0,High
Sütlaç,Tatlı,Orta,45,4,0,4,0.0,0,6,False,3,0,0,4,11,Yaz,0.0,Low
Sebze Çorbası,Çorba,Kolay,28,6,4,2,0.667,4,24,True,3,3,0,3,15,Kış,94.33,High
Yoğurt Çorbası,Çorba,Orta,35,8,2,6,0.25,2,4,True,2,4,5,3,11,Kış,58.75,Medium
Sebzeli Pilav,Ana Yemek,Kolay,25,10,6,4,0.6,2,16,True,3,6,3,2,5,Yaz,100.0,High
Kıymalı Makarna,Ana Yemek,Orta,30,5,3,2,0.6,2,28,True,5,2,1,0,3,Sonbahar,89.6,High
Etli Sebze Yemeği,Ana Yemek,Zor,55,5,5,0,1.0,1,20,False,6,6,5,2,7,Sonbahar,100.0,High
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,10,0,10,0.0,0,27,True,4,6,4,2,11,Yaz,25.0,Low
Yoğurt Çorbası,Çorba,Orta,35,6,6,0,1.0,3,14,True,7,3,1,5,2,Kış,100.0,High
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,4,2,2,0.5,0,12,True,1,5,5,4,0,Kış,56.5,Medium
Sebze Çorbası,Çorba,Kolay,28,5,2,3,0.4,2,0,False,6,0,4,4,1,İlkbahar,65.2,Medium
Muzlu Smoothie,Atıştırmalık,Kolay,7,6,3,3,0.5,3,22,True,5,2,3,2,12,İlkbahar,100.0,High
Tavuklu Salata,Salata,Orta,25,10,5,5,0.5,1,25,True,1,0,1,4,9,Yaz,16.3,Low
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,7,6,1,0.857,0,5,False,1,1,3,5,4,Kış,58.8,Medium
Sebzeli Sandviç,Atıştırmalık,Kolay,12,8,4,4,0.5,1,23,True,6,6,2,0,15,İlkbahar,100.0,High
Yoğurtlu Havuç Salatası,Salata,Kolay,15,5,3,2,0.6,1,11,False,2,6,2,4,10,İlkbahar,73.0,Medium
Sebzeli Sandviç,Atıştırmalık,Kolay,12,8,4,4,0.5,3,20,True,6,3,1,3,8,İlkbahar,86.1,High
Domates Çorbası,Çorba,Kolay,25,7,3,4,0.429,1,2,True,7,2,1,2,5,İlkbahar,74.0,Medium
Muzlu Smoothie,Atıştırmalık,Kolay,7,10,10,0,1.0,2,18,False,3,3,4,2,9,Sonbahar,100.0,High
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,10,0,10,0.0,0,30,False,6,6,1,0,0,Sonbahar,13.0,Low
Muzlu Smoothie,Atıştırmalık,Kolay,7,8,5,3,0.625,1,11,False,0,4,1,1,12,Sonbahar,75.88,High
Muzlu Pankek,Tatlı,Orta,25,5,5,0,1.0,2,17,False,1,6,0,5,14,Kış,84.0,High
Sütlaç,Tatlı,Orta,45,10,8,2,0.8,0,28,True,5,6,0,1,6,Kış,100.0,High
Mercimek Çorbası,Çorba,Kolay,30,6,3,3,0.5,3,22,False,5,5,3,0,11,Sonbahar,100.0,High
Kıymalı Makarna,Ana Yemek,Orta,30,6,1,5,0.167,1,11,True,0,6,0,3,13,Sonbahar,17.83,Low
Tavuklu Sebze Sote,Ana Yemek,Orta,35,8,0,8,0.0,0,27,True,8,1,4,5,4,İlkbahar,0.0,Low
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,6,5,1,0.833,0,2,False,0,5,4,1,2,Yaz,100.0,High
Menemen,Kahvaltı,Kolay,20,5,5,0,1.0,0,20,True,8,0,3,0,9,Sonbahar,100.0,High
Mercimek Çorbası,Çorba,Kolay,30,8,0,8,0.0,0,29,True,1,6,0,0,1,Yaz,3.2,Low
Sebze Çorbası,Çorba,Kolay,28,6,0,6,0.0,0,0,False,6,6,5,1,6,Sonbahar,73.2,Medium
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,5,5,0,1.0,3,15,False,4,1,1,5,11,Kış,94.0,High
Domates Çorbası,Çorba,Kolay,25,6,5,1,0.833,1,29,False,6,0,1,4,14,İlkbahar,72.17,Medium
Muzlu Smoothie,Atıştırmalık,Kolay,7,6,2,4,0.333,0,0,True,1,2,2,5,1,Sonbahar,17.87,Low
Fırında Tavuk,Ana Yemek,Orta,45,8,2,6,0.25,1,23,False,5,4,5,1,0,Yaz,53.75,Medium
Domates Çorbası,Çorba,Kolay,25,7,4,3,0.571,4,10,True,7,4,0,3,11,Yaz,100.0,High
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,5,2,3,0.4,0,2,False,6,6,0,1,10,İlkbahar,87.0,High
Menemen,Kahvaltı,Kolay,20,5,5,0,1.0,2,9,False,1,0,2,3,7,Yaz,83.4,High
Yoğurt Çorbası,Çorba,Orta,35,9,5,4,0.556,0,17,True,7,4,3,5,8,Kış,59.04,Medium
Yoğurtlu Havuç Salatası,Salata,Kolay,15,6,4,2,0.667,2,16,True,0,2,5,3,0,İlkbahar,80.33,High
Sebzeli Sandviç,Atıştırmalık,Kolay,12,6,3,3,0.5,3,17,False,1,0,3,5,7,Sonbahar,41.9,Low
Muzlu Smoothie,Atıştırmalık,Kolay,7,6,5,1,0.833,3,26,True,5,5,0,5,12,Sonbahar,100.0,High
Menemen,Kahvaltı,Kolay,20,4,3,1,0.75,2,12,False,3,2,2,3,2,Yaz,72.65,Medium
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,6,1,5,0.167,0,18,False,3,4,0,5,9,Kış,0.0,Low
Sebzeli Pilav,Ana Yemek,Kolay,25,7,5,2,0.714,3,28,True,5,3,3,4,4,Yaz,100.0,High
Mevsim Salata,Salata,Kolay,10,8,2,6,0.25,2,14,True,4,3,5,1,9,Yaz,81.55,High
Peynirli Tost,Kahvaltı,Kolay,10,8,2,6,0.25,1,21,True,6,0,5,0,7,İlkbahar,71.15,Medium
Peynirli Akdeniz Salatası,Salata,Kolay,15,10,2,8,0.2,1,1,False,3,6,4,2,14,Kış,67.0,Medium
Muzlu Pankek,Tatlı,Orta,25,7,5,2,0.714,1,14,True,2,0,2,3,2,Yaz,51.4,Medium
Sebze Çorbası,Çorba,Kolay,28,9,9,0,1.0,2,27,True,1,1,2,0,7,Yaz,100.0,High
Sebzeli Pilav,Ana Yemek,Kolay,25,5,4,1,0.8,1,4,False,6,1,5,3,8,Kış,100.0,High
Etli Sebze Yemeği,Ana Yemek,Zor,55,9,7,2,0.778,0,28,True,8,4,4,3,0,İlkbahar,92.22,High
Muzlu Pankek,Tatlı,Orta,25,7,3,4,0.429,2,16,False,2,6,4,3,13,Sonbahar,76.0,High
Fırında Tavuk,Ana Yemek,Orta,45,8,3,5,0.375,2,15,True,4,6,5,3,14,İlkbahar,85.12,High
Sebzeli Pilav,Ana Yemek,Kolay,25,9,1,8,0.111,0,17,False,2,4,2,0,13,İlkbahar,21.89,Low
Etli Sebze Yemeği,Ana Yemek,Zor,55,5,5,0,1.0,3,1,True,6,3,0,3,1,Yaz,100.0,High
Peynirli Tost,Kahvaltı,Kolay,10,7,6,1,0.857,2,13,False,6,2,0,1,4,İlkbahar,100.0,High
Sebze Çorbası,Çorba,Kolay,28,5,1,4,0.2,0,16,True,2,1,5,4,10,Kış,26.0,Low
Mercimek Çorbası,Çorba,Kolay,30,8,8,0,1.0,2,7,False,2,2,4,1,10,İlkbahar,100.0,High
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,10,7,3,0.7,0,29,True,5,4,2,3,5,İlkbahar,87.5,High
Domates Çorbası,Çorba,Kolay,25,9,5,4,0.556,1,8,True,2,4,4,1,1,Sonbahar,85.64,High
Yoğurt Çorbası,Çorba,Orta,35,4,1,3,0.25,1,5,True,1,0,1,0,14,Sonbahar,39.75,Low
Peynirli Tost,Kahvaltı,Kolay,10,8,3,5,0.375,0,19,False,5,4,1,5,0,Kış,14.12,Low
Tavuklu Salata,Salata,Orta,25,5,1,4,0.2,1,22,True,1,3,3,5,5,Kış,10.0,Low
Yoğurt Çorbası,Çorba,Orta,35,5,1,4,0.2,0,11,False,8,4,4,2,5,Yaz,55.0,Medium
Yoğurt Çorbası,Çorba,Orta,35,6,4,2,0.667,2,10,True,7,4,2,3,9,İlkbahar,100.0,High
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,5,2,3,0.4,2,24,True,5,6,2,1,10,Sonbahar,100.0,High
Kıymalı Makarna,Ana Yemek,Orta,30,6,3,3,0.5,0,11,True,3,0,4,3,3,Yaz,38.1,Low
Bayat Ekmek Pizzası,Atıştırmalık,Kolay,20,5,2,3,0.4,0,16,True,7,1,2,2,11,İlkbahar,61.0,Medium
Sütlaç,Tatlı,Orta,45,8,6,2,0.75,1,17,True,7,3,5,0,8,Sonbahar,100.0,High
Sebzeli Pilav,Ana Yemek,Kolay,25,9,2,7,0.222,2,26,True,6,5,1,4,5,Yaz,36.78,Low
Yoğurt Çorbası,Çorba,Orta,35,6,4,2,0.667,3,19,True,1,4,5,4,8,Sonbahar,93.93,High
Muzlu Smoothie,Atıştırmalık,Kolay,7,7,2,5,0.286,2,4,True,5,4,2,2,13,Sonbahar,79.0,High
Domates Çorbası,Çorba,Kolay,25,8,0,8,0.0,0,12,False,3,1,5,0,6,Yaz,16.2,Low
Sebze Çorbası,Çorba,Kolay,28,6,1,5,0.167,0,4,False,5,0,2,0,6,Sonbahar,35.03,Low
Etli Sebze Yemeği,Ana Yemek,Zor,55,10,4,6,0.4,4,6,True,5,6,0,5,8,Yaz,52.6,Medium
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,5,5,0,1.0,3,26,False,6,6,5,3,9,İlkbahar,100.0,High
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,10,4,6,0.4,4,9,True,6,4,1,2,10,İlkbahar,95.0,High
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,4,4,0,1.0,3,25,False,3,3,4,0,1,Kış,100.0,High
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,5,0,5,0.0,0,3,False,7,1,4,4,13,Sonbahar,32.0,Low
Tavuklu Sebze Sote,Ana Yemek,Orta,35,6,6,0,1.0,1,6,True,5,0,4,0,2,İlkbahar,100.0,High
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,7,5,2,0.714,3,30,False,3,2,2,2,3,Sonbahar,94.6,High
Sebzeli Omlet,Kahvaltı,Kolay,15,9,9,0,1.0,1,13,True,2,4,0,3,12,Sonbahar,100.0,High
Menemen,Kahvaltı,Kolay,20,5,4,1,0.8,0,6,False,0,3,0,2,5,Yaz,59.0,Medium
Muzlu Smoothie,Atıştırmalık,Kolay,7,6,6,0,1.0,2,10,False,4,4,3,4,14,İlkbahar,100.0,High
Sebze Çorbası,Çorba,Kolay,28,10,0,10,0.0,0,4,True,5,1,0,1,6,İlkbahar,0.0,Low
Mercimek Çorbası,Çorba,Kolay,30,4,3,1,0.75,2,25,True,5,2,5,2,1,Kış,100.0,High
Muzlu Smoothie,Atıştırmalık,Kolay,7,4,3,1,0.75,2,23,True,1,5,1,0,2,Yaz,100.0,High
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,5,2,3,0.4,1,10,True,1,6,5,1,6,Sonbahar,95.2,High
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,5,1,4,0.2,1,5,False,0,0,0,2,12,Sonbahar,11.0,Low
Peynirli Tost,Kahvaltı,Kolay,10,8,0,8,0.0,0,8,False,3,5,1,3,12,Sonbahar,0.0,Low
Muzlu Pankek,Tatlı,Orta,25,5,4,1,0.8,4,30,False,6,1,5,0,3,İlkbahar,100.0,High
Etli Sebze Yemeği,Ana Yemek,Zor,55,7,1,6,0.143,1,16,False,3,3,2,3,13,Kış,0.0,Low
Sebzeli Pilav,Ana Yemek,Kolay,25,10,10,0,1.0,2,4,True,5,2,2,1,0,Yaz,100.0,High
Sebzeli Pilav,Ana Yemek,Kolay,25,5,0,5,0.0,0,0,True,3,0,1,1,10,İlkbahar,24.0,Low
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,10,5,5,0.5,1,18,True,1,5,4,2,6,Kış,79.7,High
Muzlu Pankek,Tatlı,Orta,25,4,3,1,0.75,1,28,False,3,3,4,4,8,Yaz,74.85,Medium
Mercimek Çorbası,Çorba,Kolay,30,8,5,3,0.625,3,17,False,2,3,1,5,11,Yaz,61.88,Medium
Mercimek Çorbası,Çorba,Kolay,30,5,3,2,0.6,3,22,False,8,3,5,0,2,İlkbahar,100.0,High
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,8,0,8,0.0,0,16,False,6,4,3,5,7,Yaz,0.0,Low
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,8,3,5,0.375,1,24,True,0,4,3,1,15,Kış,65.12,Medium
Muzlu Pankek,Tatlı,Orta,25,5,2,3,0.4,0,17,False,6,1,1,3,0,Kış,20.0,Low
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,6,1,5,0.167,1,2,False,5,3,3,2,15,Yaz,62.83,Medium
Bayat Ekmek Pizzası,Atıştırmalık,Kolay,20,7,0,7,0.0,0,2,True,2,4,1,5,5,Sonbahar,0.0,Low
Sebzeli Omlet,Kahvaltı,Kolay,15,9,5,4,0.556,3,27,False,2,1,5,1,4,Yaz,95.24,High
Etli Sebze Yemeği,Ana Yemek,Zor,55,10,4,6,0.4,4,13,True,7,3,4,2,6,Yaz,85.2,High
Muzlu Smoothie,Atıştırmalık,Kolay,7,7,5,2,0.714,0,0,True,2,0,0,5,12,İlkbahar,48.0,Medium
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,5,3,2,0.6,2,3,True,1,0,2,4,3,İlkbahar,57.6,Medium
Muzlu Smoothie,Atıştırmalık,Kolay,7,4,3,1,0.75,0,3,True,3,2,1,3,1,Sonbahar,68.45,Medium
Muzlu Smoothie,Atıştırmalık,Kolay,7,6,6,0,1.0,1,5,True,5,0,4,5,9,Sonbahar,100.0,High
Sütlaç,Tatlı,Orta,45,10,6,4,0.6,0,12,False,6,5,1,1,4,Yaz,74.8,Medium
Yoğurt Çorbası,Çorba,Orta,35,10,7,3,0.7,4,28,True,3,6,1,4,0,Sonbahar,94.5,High
Muzlu Pankek,Tatlı,Orta,25,9,6,3,0.667,3,26,True,4,2,5,0,0,Yaz,100.0,High
Tavuklu Sebze Sote,Ana Yemek,Orta,35,6,1,5,0.167,1,4,False,8,0,1,1,5,İlkbahar,32.83,Low
Muzlu Smoothie,Atıştırmalık,Kolay,7,4,1,3,0.25,0,30,False,6,3,0,5,7,Kış,15.15,Low
Muzlu Smoothie,Atıştırmalık,Kolay,7,5,1,4,0.2,0,24,True,1,3,2,2,14,Sonbahar,33.0,Low
Bayat Ekmek Pizzası,Atıştırmalık,Kolay,20,10,10,0,1.0,2,0,False,8,1,2,1,1,Kış,100.0,High
Mevsim Salata,Salata,Kolay,10,9,1,8,0.111,1,17,False,0,4,5,1,8,İlkbahar,33.49,Low
Muzlu Smoothie,Atıştırmalık,Kolay,7,10,4,6,0.4,0,19,False,2,6,4,4,15,Kış,49.0,Medium
Domates Çorbası,Çorba,Kolay,25,5,1,4,0.2,1,2,True,7,1,5,0,9,Kış,97.8,High
Tavuklu Salata,Salata,Orta,25,8,1,7,0.125,0,5,False,7,1,4,1,4,Sonbahar,31.18,Low
Etli Sebze Yemeği,Ana Yemek,Zor,55,8,8,0,1.0,3,21,False,7,0,3,2,6,İlkbahar,100.0,High
Mercimek Çorbası,Çorba,Kolay,30,10,5,5,0.5,0,12,False,7,2,0,2,7,Yaz,47.9,Medium
Sebze Çorbası,Çorba,Kolay,28,9,4,5,0.444,4,28,False,1,1,0,5,12,Kış,28.56,Low
Etli Sebze Yemeği,Ana Yemek,Zor,55,10,7,3,0.7,1,13,True,6,6,2,2,4,Sonbahar,95.3,High
Fırında Tavuk,Ana Yemek,Orta,45,9,7,2,0.778,0,25,False,3,6,4,3,13,Kış,99.22,High
Tavuklu Sebze Sote,Ana Yemek,Orta,35,6,4,2,0.667,3,21,True,3,1,5,5,13,Sonbahar,81.33,High
Muzlu Smoothie,Atıştırmalık,Kolay,7,6,4,2,0.667,4,23,False,5,6,2,1,6,Sonbahar,100.0,High
Bayat Ekmek Pizzası,Atıştırmalık,Kolay,20,6,1,5,0.167,0,8,True,5,4,4,2,6,Yaz,51.03,Medium
Sebzeli Pilav,Ana Yemek,Kolay,25,9,5,4,0.556,2,17,False,1,1,2,0,14,İlkbahar,76.44,High
Yoğurt Çorbası,Çorba,Orta,35,8,7,1,0.875,4,30,False,5,0,2,2,4,Yaz,100.0,High
Sebze Çorbası,Çorba,Kolay,28,10,3,7,0.3,1,7,True,4,6,5,3,0,Yaz,63.5,Medium
Muzlu Smoothie,Atıştırmalık,Kolay,7,6,2,4,0.333,1,1,True,2,1,3,3,14,İlkbahar,58.67,Medium
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,6,6,0,1.0,4,4,False,5,1,2,0,9,Yaz,100.0,High
Domates Çorbası,Çorba,Kolay,25,10,1,9,0.1,1,2,True,4,6,4,2,15,Yaz,56.5,Medium
Sebzeli Sandviç,Atıştırmalık,Kolay,12,10,4,6,0.4,3,25,True,4,1,3,0,0,Sonbahar,79.0,High
Tavuklu Salata,Salata,Orta,25,10,8,2,0.8,3,19,False,0,4,3,2,8,Sonbahar,100.0,High
Sebze Çorbası,Çorba,Kolay,28,10,5,5,0.5,1,29,True,5,4,1,2,5,Sonbahar,68.5,Medium
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,7,0,7,0.0,0,17,True,7,4,5,4,13,İlkbahar,32.0,Low
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,6,6,0,1.0,4,11,True,8,0,2,2,8,Kış,100.0,High
Yoğurt Çorbası,Çorba,Orta,35,5,3,2,0.6,0,21,False,4,0,3,1,12,İlkbahar,61.0,Medium
Sebzeli Pilav,Ana Yemek,Kolay,25,6,3,3,0.5,0,27,False,2,2,1,2,14,İlkbahar,41.5,Low
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,9,0,9,0.0,0,0,True,5,1,0,1,10,Yaz,7.0,Low
Domates Çorbası,Çorba,Kolay,25,8,5,3,0.625,2,2,False,2,4,2,2,5,Kış,93.88,High
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,9,6,3,0.667,0,29,False,6,5,2,5,10,Sonbahar,75.33,High
Menemen,Kahvaltı,Kolay,20,6,5,1,0.833,3,26,False,4,5,4,4,6,Kış,100.0,High
Yoğurt Çorbası,Çorba,Orta,35,9,6,3,0.667,3,12,True,0,4,2,3,1,Kış,73.53,Medium
Mercimek Çorbası,Çorba,Kolay,30,6,3,3,0.5,1,29,False,8,2,2,0,5,Sonbahar,90.5,High
Sebzeli Omlet,Kahvaltı,Kolay,15,10,3,7,0.3,0,28,False,2,2,1,2,0,Yaz,1.5,Low
Mevsim Salata,Salata,Kolay,10,10,9,1,0.9,1,23,False,2,3,1,5,2,Kış,74.9,Medium
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,7,0,7,0.0,0,27,False,3,6,0,5,2,Kış,0.0,Low
Peynirli Akdeniz Salatası,Salata,Kolay,15,10,5,5,0.5,0,3,False,1,3,0,2,8,Yaz,45.1,Medium
Sütlaç,Tatlı,Orta,45,4,1,3,0.25,1,23,True,8,6,5,0,14,Kış,100.0,High
Kıymalı Makarna,Ana Yemek,Orta,30,4,2,2,0.5,0,6,True,6,5,4,1,14,Sonbahar,100.0,High
Yoğurtlu Havuç Salatası,Salata,Kolay,15,7,6,1,0.857,2,2,False,2,1,1,3,3,Yaz,89.6,High
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,8,0,8,0.0,0,18,False,1,2,4,5,8,Yaz,0.0,Low
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,6,0,6,0.0,0,3,True,7,5,4,0,0,Kış,72.0,Medium
Peynirli Tost,Kahvaltı,Kolay,10,5,5,0,1.0,3,13,True,3,5,3,2,6,Sonbahar,100.0,High
Sebzeli Omlet,Kahvaltı,Kolay,15,4,1,3,0.25,0,25,False,3,5,3,2,0,Sonbahar,46.75,Medium
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,7,3,4,0.429,2,17,True,8,1,5,0,2,İlkbahar,100.0,High
Elmalı Yulaf Tatlısı,Tatlı,Kolay,20,8,7,1,0.875,2,17,True,6,1,4,4,12,İlkbahar,100.0,High
Etli Sebze Yemeği,Ana Yemek,Zor,55,5,2,3,0.4,2,4,True,1,2,3,5,13,Kış,29.0,Low
Yoğurt Çorbası,Çorba,Orta,35,6,3,3,0.5,2,4,True,6,5,1,3,11,Sonbahar,86.5,High
Muzlu Smoothie,Atıştırmalık,Kolay,7,8,3,5,0.375,3,20,False,8,6,4,2,14,Yaz,100.0,High
Menemen,Kahvaltı,Kolay,20,6,6,0,1.0,4,4,True,1,5,4,5,14,İlkbahar,100.0,High
Bayat Ekmek Pizzası,Atıştırmalık,Kolay,20,8,4,4,0.5,1,8,True,2,0,2,5,3,Yaz,18.1,Low
Peynirli Tost,Kahvaltı,Kolay,10,10,10,0,1.0,1,13,False,3,5,2,5,4,Kış,100.0,High
Peynirli Akdeniz Salatası,Salata,Kolay,15,9,2,7,0.222,0,0,True,1,1,4,2,4,Sonbahar,30.58,Low
Peynirli Tost,Kahvaltı,Kolay,10,9,9,0,1.0,4,9,True,5,5,0,0,2,İlkbahar,100.0,High
Yoğurt Çorbası,Çorba,Orta,35,5,0,5,0.0,0,5,False,7,6,2,4,11,Yaz,28.0,Low
Muzlu Pankek,Tatlı,Orta,25,10,2,8,0.2,0,24,False,0,3,1,5,7,Yaz,0.0,Low
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,10,5,5,0.5,0,25,False,7,2,3,5,7,Sonbahar,44.9,Low
Domates Çorbası,Çorba,Kolay,25,5,0,5,0.0,0,25,False,3,1,3,2,1,Yaz,0.2,Low
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,8,3,5,0.375,2,1,True,4,0,5,5,3,İlkbahar,57.73,Medium
Muzlu Pankek,Tatlı,Orta,25,10,5,5,0.5,4,20,True,4,3,5,4,5,Sonbahar,89.5,High
Tavuklu Salata,Salata,Orta,25,5,4,1,0.8,0,24,False,7,4,5,5,7,Kış,89.4,High
Yoğurtlu Yulaf,Kahvaltı,Kolay,8,9,1,8,0.111,1,25,True,7,2,5,2,10,Sonbahar,51.89,Medium
Sebze Çorbası,Çorba,Kolay,28,7,2,5,0.286,0,6,False,7,0,3,0,11,İlkbahar,62.0,Medium
Sütlaç,Tatlı,Orta,45,8,2,6,0.25,1,25,True,7,1,4,3,7,Kış,39.15,Low
Peynirli Tost,Kahvaltı,Kolay,10,5,3,2,0.6,3,4,True,5,3,3,0,8,İlkbahar,100.0,High
Fırında Tavuk,Ana Yemek,Orta,45,9,2,7,0.222,0,2,True,6,4,4,5,10,Kış,33.78,Low
Peynirli Lavaş Rulo,Atıştırmalık,Kolay,10,7,2,5,0.286,2,21,True,6,2,4,5,10,Kış,55.0,Medium
Mercimek Çorbası,Çorba,Kolay,30,8,6,2,0.75,1,10,False,3,2,3,3,9,Yaz,84.05,High
Etli Sebze Yemeği,Ana Yemek,Zor,55,6,3,3,0.5,2,14,False,8,5,4,5,6,Yaz,68.7,Medium
Sütlaç,Tatlı,Orta,45,4,4,0,1.0,3,27,False,5,2,4,1,15,Yaz,100.0,High
Menemen,Kahvaltı,Kolay,20,7,0,7,0.0,0,1,False,7,2,0,3,13,Yaz,10.0,Low
Sebzeli Omlet,Kahvaltı,Kolay,15,4,3,1,0.75,0,7,True,7,5,0,1,15,İlkbahar,100.0,High
Yoğurtlu Havuç Salatası,Salata,Kolay,15,5,5,0,1.0,2,2,True,6,1,2,4,14,Kış,100.0,High
Mevsim Salata,Salata,Kolay,10,8,3,5,0.375,2,2,False,4,4,5,1,7,Yaz,100.0,High
Sebzeli Omlet,Kahvaltı,Kolay,15,5,2,3,0.4,2,23,False,6,3,1,5,14,Yaz,52.0,Medium
Peynirli Tost,Kahvaltı,Kolay,10,6,6,0,1.0,3,8,False,7,0,1,3,15,İlkbahar,100.0,High
Mercimek Çorbası,Çorba,Kolay,30,8,0,8,0.0,0,30,False,3,6,5,2,0,Kış,18.0,Low
Yoğurtlu Meyve Kasesi,Tatlı,Kolay,8,8,1,7,0.125,0,29,True,4,0,1,4,3,İlkbahar,0.0,Low
Sebzeli Omlet,Kahvaltı,Kolay,15,9,4,5,0.444,2,29,False,2,6,4,1,9,Sonbahar,97.36,High
Yoğurt Çorbası,Çorba,Orta,35,6,3,3,0.5,1,2,True,7,1,4,5,0,Kış,57.5,Medium
Peynirli Tost,Kahvaltı,Kolay,10,8,7,1,0.875,4,27,True,4,2,1,4,15,İlkbahar,100.0,High
Sebzeli Pilav,Ana Yemek,Kolay,25,4,3,1,0.75,1,26,True,2,5,5,0,1,Kış,100.0,High
Etli Sebze Yemeği,Ana Yemek,Zor,55,8,2,6,0.25,0,8,False,1,0,0,4,9,İlkbahar,0.0,Low
